Test#,Test Name,File,Endpoint Called,Expected Status,Actual Status,Root Cause Category,Root Cause Detail,Severity,Fix Required
1,test_import_missing_url,test_all_endpoints.py::TestGitHubEndpoints,POST /github/import,400/422,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
2,test_import_knowledge_missing_text,test_all_endpoints.py::TestKnowledgeEndpoints,POST /knowledge/import/text,400/422,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
3,test_search_knowledge_missing_query,test_all_endpoints.py::TestKnowledgeEndpoints,GET /knowledge/search,400/422/200,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
4,test_export_knowledge,test_all_endpoints.py::TestKnowledgeEndpoints,GET /knowledge/export,NOT 404,404,Missing Endpoint,Endpoint /knowledge/export does not exist,HIGH,Implement /knowledge/export endpoint
5,test_export_knowledge_specific_format,test_all_endpoints.py::TestKnowledgeEndpoints,GET /knowledge/export?format=json,NOT 404,404,Missing Endpoint,Endpoint /knowledge/export does not exist,HIGH,Implement /knowledge/export endpoint
6,test_validate_missing_language,test_all_endpoints.py::TestAnalysisEndpoints,POST /analysis/validate,400/422,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
7,test_validate_missing_code,test_all_endpoints.py::TestAnalysisEndpoints,POST /analysis/validate,400/422,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
8,test_code_maturity_assessment,test_all_endpoints.py::TestAnalysisEndpoints,POST /analysis/maturity,NOT 404,404,Incorrect Endpoint Path,Actual endpoint is /analysis/{project_id}/maturity; test uses /analysis/maturity,HIGH,Update test to use /analysis/{project_id}/maturity path
9,test_maturity_missing_code,test_all_endpoints.py::TestAnalysisEndpoints,POST /analysis/maturity,400/422/200,404,Incorrect Endpoint Path,Actual endpoint is /analysis/{project_id}/maturity; test uses /analysis/maturity,HIGH,Update test to use /analysis/{project_id}/maturity path
10,test_invite_missing_email,test_all_endpoints.py::TestCollaborationEndpoints,POST /collaboration/invite,400/422,401,Authentication Missing,Endpoint requires auth; test has no headers,HIGH,Add auth headers or move param validation before auth
11,test_openapi_schema,test_all_endpoints.py::TestEndpointAvailability,GET /openapi.json,200,200,OpenAPI Warnings,Duplicate Operation IDs in schema generation,MEDIUM,Rename endpoints to have unique operation IDs
12,test_complete_registration_to_login_workflow,test_e2e_workflows.py::TestAuthWorkflows,POST /auth/register,200/201/409,FAILED,Workflow Failure,Assertion failure on registration status code,MEDIUM,Depends on auth system working correctly
13,test_import_search_export_knowledge_workflow,test_e2e_workflows.py::TestKnowledgeBaseWorkflows,GET /knowledge/export,NOT 404,404,Workflow Failure,Step 5 fails because /knowledge/export returns 404,HIGH,Implement /knowledge/export endpoint
14,test_code_maturity_assessment_workflow,test_e2e_workflows.py::TestCodeAnalysisWorkflows,POST /analysis/maturity,200/400/401,404,Workflow Failure,Uses wrong path /analysis/maturity instead of /analysis/{project_id}/maturity,HIGH,Update test to use /analysis/{project_id}/maturity path
15,test_github_project_import_workflow,test_e2e_workflows.py::TestCompleteUserJourney,POST /analysis/maturity,NOT 404,404,Workflow Failure,Step 3 uses wrong path /analysis/maturity instead of /analysis/{project_id}/maturity,HIGH,Update test to use /analysis/{project_id}/maturity path
16,test_knowledge_export_endpoint,test_routers_comprehensive.py::TestKnowledgeRouterComprehensive,GET /knowledge/export,NOT 404,404,Missing Endpoint,Endpoint /knowledge/export does not exist,HIGH,Implement /knowledge/export endpoint
17,test_analysis_maturity_endpoint,test_routers_comprehensive.py::TestAnalysisRouterComprehensive,POST /analysis/maturity,200/400/401,404,Incorrect Endpoint Path,Actual endpoint is /analysis/{project_id}/maturity; test uses /analysis/maturity,HIGH,Update test to use /analysis/{project_id}/maturity path
18,test_cors_preflight_handled,test_security_penetration.py::TestCORS,OPTIONS /auth/login,200/404/405,400,CORS Issue,OPTIONS request returns 400 instead of expected status,MEDIUM,Debug CORS middleware OPTIONS request handler
